Archivo,Metodo,Target,RMSE,RMSE_baseline,RMSE_zeros,MAE,MAE_baseline,MAE_zeros,Alpha,Valor_Real,Prediccion,Valor_Baseline,Valor_Zeros,Fecha_Semana
adj_close.csv,ARIMA,AGG,0.00055605,0.00057045,0.00080246,0.00055605,0.00057045,0.00080246,"ARIMA(2, 0, 0)",0.00080246,0.00024641,0.00023201,0.0,2025-W05
adj_close.csv,ARIMA,AGG,0.00075644,1.702e-05,0.00078545,0.00075644,1.702e-05,0.00078545,"ARIMA(2, 0, 0)",0.00078545,2.901e-05,0.00080246,0.0,2025-W06
adj_close.csv,ARIMA,AGG,0.0003918,0.00029352,0.00049193,0.0003918,0.00029352,0.00049193,"ARIMA(2, 0, 0)",0.00049193,0.00010013,0.00078545,0.0,2025-W07
adj_close.csv,ARIMA,AGG,0.00071925,0.00032553,0.00081745,0.00071925,0.00032553,0.00081745,"ARIMA(2, 0, 0)",0.00081745,9.82e-05,0.00049193,0.0,2025-W08
adj_close.csv,ARIMA,AGG,0.00243066,0.00167665,0.0024941,0.00243066,0.00167665,0.0024941,"ARIMA(2, 0, 0)",0.0024941,6.344e-05,0.00081745,0.0,2025-W09
adj_close.csv,ARIMA,AGG,0.00132613,0.00370246,0.00120836,0.00132613,0.00370246,0.00120836,"ARIMA(2, 0, 0)",-0.00120836,0.00011777,0.0024941,0.0,2025-W10
adj_close.csv,ARIMA,AGG,0.00045306,0.00106595,0.00014241,0.00045306,0.00106595,0.00014241,"ARIMA(2, 0, 0)",-0.00014241,0.00031065,-0.00120836,0.0,2025-W11
adj_close.csv,ARIMA,AGG,0.00108285,0.00107635,0.00093394,0.00108285,0.00107635,0.00093394,"ARIMA(2, 0, 0)",0.00093394,-0.00014892,-0.00014241,0.0,2025-W12
adj_close.csv,ARIMA,AGG,4.11e-06,0.00095417,2.023e-05,4.11e-06,0.00095417,2.023e-05,"ARIMA(2, 0, 0)",-2.023e-05,-1.613e-05,0.00093394,0.0,2025-W13
adj_close.csv,ARIMA,AGG,0.00201848,0.00215173,0.0021315,0.00201848,0.00215173,0.0021315,"ARIMA(2, 0, 0)",0.0021315,0.00011302,-2.023e-05,0.0,2025-W14
adj_close.csv,ARIMA,AGG,0.00492635,0.00705797,0.00492647,0.00492635,0.00705797,0.00492647,"ARIMA(2, 0, 0)",-0.00492647,-1.2e-07,0.0021315,0.0,2025-W15
adj_close.csv,ARIMA,AGG,0.0017899,0.00705573,0.00212925,0.0017899,0.00705573,0.00212925,"ARIMA(2, 0, 0)",0.00212925,0.00033935,-0.00492647,0.0,2025-W16
adj_close.csv,ARIMA,AGG,0.00218587,0.00064305,0.0014862,0.00218587,0.00064305,0.0014862,"ARIMA(2, 0, 0)",0.0014862,-0.00069966,0.00212925,0.0,2025-W17
adj_close.csv,ARIMA,AGG,0.00088365,0.00215963,0.00067342,0.00088365,0.00215963,0.00067342,"ARIMA(2, 0, 0)",-0.00067342,0.00021022,0.0014862,0.0,2025-W18
adj_close.csv,ARIMA,AGG,0.0005696,0.0002851,0.00038832,0.0005696,0.0002851,0.00038832,"ARIMA(2, 0, 0)",-0.00038832,0.00018128,-0.00067342,0.0,2025-W19
adj_close.csv,ARIMA,AGG,0.0001397,0.00018366,0.00020466,0.0001397,0.00018366,0.00020466,"ARIMA(2, 0, 0)",-0.00020466,-6.496e-05,-0.00038832,0.0,2025-W20
adj_close.csv,ARIMA,AGG,0.00082401,0.00065733,0.00086199,0.00082401,0.00065733,0.00086199,"ARIMA(2, 0, 0)",-0.00086199,-3.798e-05,-0.00020466,0.0,2025-W21
adj_close.csv,ARIMA,AGG,0.00220412,0.00306331,0.00220132,0.00220412,0.00306331,0.00220132,"ARIMA(2, 0, 0)",0.00220132,-2.8e-06,-0.00086199,0.0,2025-W22
adj_close.csv,ARIMA,AGG,0.00086774,0.00322056,0.00101924,0.00086774,0.00322056,0.00101924,"ARIMA(2, 0, 0)",-0.00101924,-0.0001515,0.00220132,0.0,2025-W23
adj_close.csv,ARIMA,AGG,0.00112008,0.00241241,0.00139318,0.00112008,0.00241241,0.00139318,"ARIMA(2, 0, 0)",0.00139318,0.0002731,-0.00101924,0.0,2025-W24
adj_close.csv,ARIMA,AGG,0.00082124,0.00073051,0.00066266,0.00082124,0.00073051,0.00066266,"ARIMA(2, 0, 0)",0.00066266,-0.00015858,0.00139318,0.0,2025-W25
adj_close.csv,ARIMA,AGG,0.00103873,0.00051488,0.00117754,0.00103873,0.00051488,0.00117754,"ARIMA(2, 0, 0)",0.00117754,0.00013881,0.00066266,0.0,2025-W26
adj_close.csv,ARIMA,AGG,7.531e-05,0.00120874,3.119e-05,7.531e-05,0.00120874,3.119e-05,"ARIMA(2, 0, 0)",-3.119e-05,4.411e-05,0.00117754,0.0,2025-W27
adj_close.csv,ARIMA,AGG,0.00099145,0.00082367,0.00085486,0.00099145,0.00082367,0.00085486,"ARIMA(2, 0, 0)",-0.00085486,0.00013659,-3.119e-05,0.0,2025-W28
adj_close.csv,ARIMA,AGG,0.00010231,0.00097721,0.00012235,0.00010231,0.00097721,0.00012235,"ARIMA(2, 0, 0)",0.00012235,2.004e-05,-0.00085486,0.0,2025-W29
adj_close.csv,ARIMA,AGG,0.00079236,0.00056953,0.00069188,0.00079236,0.00056953,0.00069188,"ARIMA(2, 0, 0)",0.00069188,-0.00010047,0.00012235,0.0,2025-W30
adj_close.csv,ARIMA,AGG,0.00207252,0.00137531,0.00206719,0.00207252,0.00137531,0.00206719,"ARIMA(2, 0, 0)",0.00206719,-5.32e-06,0.00069188,0.0,2025-W31
adj_close.csv,ARIMA,AGG,0.00042934,0.00247106,0.00040387,0.00042934,0.00247106,0.00040387,"ARIMA(2, 0, 0)",-0.00040387,2.547e-05,0.00206719,0.0,2025-W32
adj_close.csv,ARIMA,AGG,0.00024349,0.00040387,0.0,0.00024349,0.00040387,0.0,"ARIMA(2, 0, 0)",0.0,0.00024349,-0.00040387,0.0,2025-W33
adj_close.csv,ARIMA,AGG,0.00097285,0.00092769,0.00092769,0.00097285,0.00092769,0.00092769,"ARIMA(2, 0, 0)",0.00092769,-4.517e-05,0.0,0.0,2025-W34
adj_close.csv,ARIMA,AGG,0.00014548,0.00080698,0.00012071,0.00014548,0.00080698,0.00012071,"ARIMA(2, 0, 0)",0.00012071,-2.477e-05,0.00092769,0.0,2025-W35
adj_close.csv,ARIMA,AGG,0.0023268,0.00230612,0.00242683,0.0023268,0.00230612,0.00242683,"ARIMA(2, 0, 0)",0.00242683,0.00010003,0.00012071,0.0,2025-W36
adj_close.csv,ARIMA,AGG,0.00092646,0.00154967,0.00087716,0.00092646,0.00154967,0.00087716,"ARIMA(2, 0, 0)",0.00087716,-4.93e-05,0.00242683,0.0,2025-W37
adj_close.csv,ARIMA,AGG,0.00075616,0.00137507,0.00049791,0.00075616,0.00137507,0.00049791,"ARIMA(2, 0, 0)",-0.00049791,0.00025824,0.00087716,0.0,2025-W38
adj_close.csv,ARIMA,AGG,0.0005493,5.871e-05,0.00043921,0.0005493,5.871e-05,0.00043921,"ARIMA(2, 0, 0)",-0.00043921,0.0001101,-0.00049791,0.0,2025-W39
adj_close.csv,ARIMA,AGG,0.00091431,0.00130837,0.00086916,0.00091431,0.00130837,0.00086916,"ARIMA(2, 0, 0)",0.00086916,-4.515e-05,-0.00043921,0.0,2025-W40
adj_close.csv,ARIMA,AGG,0.00056797,0.00037067,0.00049849,0.00056797,0.00037067,0.00049849,"ARIMA(2, 0, 0)",0.00049849,-6.948e-05,0.00086916,0.0,2025-W41
adj_close.csv,ARIMA,AGG,0.00096839,0.00055417,0.00105266,0.00096839,0.00055417,0.00105266,"ARIMA(2, 0, 0)",0.00105266,8.427e-05,0.00049849,0.0,2025-W42
adj_close.csv,ARIMA,AGG,0.00032446,0.00069639,0.00035627,0.00032446,0.00069639,0.00035627,"ARIMA(2, 0, 0)",0.00035627,3.181e-05,0.00105266,0.0,2025-W43
adj_close.csv,ARIMA,AGG,0.00129981,0.00154628,0.00119001,0.00129981,0.00154628,0.00119001,"ARIMA(2, 0, 0)",-0.00119001,0.0001098,0.00035627,0.0,2025-W44
