Archivo,Metodo,Target,RMSE,RMSE_baseline,RMSE_zeros,MAE,MAE_baseline,MAE_zeros,Alpha,Valor_Real,Prediccion,Valor_Baseline,Valor_Zeros,Fecha_Semana
adj_close.csv,ARIMA,DBC,0.00285125,0.00047739,0.00271253,0.00285125,0.00047739,0.00271253,"ARIMA(0, 0, 1)",-0.00271253,0.00013871,-0.00223514,0.0,2025-W05
adj_close.csv,ARIMA,DBC,0.0008038,0.0037114,0.00099887,0.0008038,0.0037114,0.00099887,"ARIMA(0, 0, 1)",0.00099887,0.00019507,-0.00271253,0.0,2025-W06
adj_close.csv,ARIMA,DBC,0.00328981,0.00223572,0.00323459,0.00328981,0.00223572,0.00323459,"ARIMA(0, 0, 1)",0.00323459,-5.522e-05,0.00099887,0.0,2025-W07
adj_close.csv,ARIMA,DBC,0.00266376,0.00079556,0.00243903,0.00266376,0.00079556,0.00243903,"ARIMA(0, 0, 1)",0.00243903,-0.00022474,0.00323459,0.0,2025-W08
adj_close.csv,ARIMA,DBC,0.00573363,0.00835078,0.00591176,0.00573363,0.00835078,0.00591176,"ARIMA(0, 0, 1)",-0.00591176,-0.00017813,0.00243903,0.0,2025-W09
adj_close.csv,ARIMA,DBC,0.00085229,0.00545671,0.00045505,0.00085229,0.00545671,0.00045505,"ARIMA(0, 0, 1)",-0.00045505,0.00039724,-0.00591176,0.0,2025-W10
adj_close.csv,ARIMA,DBC,0.00012396,0.00063717,0.00018213,0.00012396,0.00063717,0.00018213,"ARIMA(0, 0, 1)",0.00018213,5.816e-05,-0.00045505,0.0,2025-W11
adj_close.csv,ARIMA,DBC,0.00136939,0.00117876,0.00136088,0.00136939,0.00117876,0.00136088,"ARIMA(0, 0, 1)",0.00136088,-8.5e-06,0.00018213,0.0,2025-W12
adj_close.csv,ARIMA,DBC,0.00072599,0.00072898,0.00063191,0.00072599,0.00072898,0.00063191,"ARIMA(0, 0, 1)",0.00063191,-9.408e-05,0.00136088,0.0,2025-W13
adj_close.csv,ARIMA,DBC,0.01145087,0.01213252,0.01150061,0.01145087,0.01213252,0.01150061,"ARIMA(0, 0, 1)",-0.01150061,-4.975e-05,0.00063191,0.0,2025-W14
adj_close.csv,ARIMA,DBC,0.00098972,0.01130958,0.00019103,0.00098972,0.01130958,0.00019103,"ARIMA(0, 0, 1)",-0.00019103,0.00079868,-0.01150061,0.0,2025-W15
adj_close.csv,ARIMA,DBC,0.00513536,0.00539218,0.00520114,0.00513536,0.00539218,0.00520114,"ARIMA(0, 0, 1)",0.00520114,6.579e-05,-0.00019103,0.0,2025-W16
adj_close.csv,ARIMA,DBC,0.00016226,0.00538842,0.00018728,0.00016226,0.00538842,0.00018728,"ARIMA(0, 0, 1)",-0.00018728,-0.00034954,0.00520114,0.0,2025-W17
adj_close.csv,ARIMA,DBC,0.00559372,0.00541746,0.00560473,0.00559372,0.00541746,0.00560473,"ARIMA(0, 0, 1)",-0.00560473,-1.101e-05,-0.00018728,0.0,2025-W18
adj_close.csv,ARIMA,DBC,0.00305925,0.00904321,0.00343848,0.00305925,0.00904321,0.00343848,"ARIMA(0, 0, 1)",0.00343848,0.00037923,-0.00560473,0.0,2025-W19
adj_close.csv,ARIMA,DBC,0.00087612,0.0027767,0.00066178,0.00087612,0.0027767,0.00066178,"ARIMA(0, 0, 1)",0.00066178,-0.00021434,0.00343848,0.0,2025-W20
adj_close.csv,ARIMA,DBC,0.00212696,0.00140397,0.00206575,0.00212696,0.00140397,0.00206575,"ARIMA(0, 0, 1)",0.00206575,-6.121e-05,0.00066178,0.0,2025-W21
adj_close.csv,ARIMA,DBC,0.00611785,0.00833236,0.00626661,0.00611785,0.00833236,0.00626661,"ARIMA(0, 0, 1)",-0.00626661,-0.00014876,0.00206575,0.0,2025-W22
adj_close.csv,ARIMA,DBC,0.00680058,0.01350936,0.00724275,0.00680058,0.01350936,0.00724275,"ARIMA(0, 0, 1)",0.00724275,0.00044217,-0.00626661,0.0,2025-W23
adj_close.csv,ARIMA,DBC,0.00956666,0.00178812,0.00903088,0.00956666,0.00178812,0.00903088,"ARIMA(0, 0, 1)",0.00903088,-0.00053578,0.00724275,0.0,2025-W24
adj_close.csv,ARIMA,DBC,0.00728671,0.00238704,0.00664384,0.00728671,0.00238704,0.00664384,"ARIMA(0, 0, 1)",0.00664384,-0.00064288,0.00903088,0.0,2025-W25
adj_close.csv,ARIMA,DBC,0.01254838,0.01960889,0.01296505,0.01254838,0.01960889,0.01296505,"ARIMA(0, 0, 1)",-0.01296505,-0.00041667,0.00664384,0.0,2025-W26
adj_close.csv,ARIMA,DBC,0.00454168,0.01840993,0.00544488,0.00454168,0.01840993,0.00544488,"ARIMA(0, 0, 1)",0.00544488,0.0009032,-0.01296505,0.0,2025-W27
adj_close.csv,ARIMA,DBC,0.00241561,0.00339083,0.00205405,0.00241561,0.00339083,0.00205405,"ARIMA(0, 0, 1)",0.00205405,-0.00036156,0.00544488,0.0,2025-W28
adj_close.csv,ARIMA,DBC,0.00036901,0.00187644,0.00017761,0.00036901,0.00187644,0.00017761,"ARIMA(0, 0, 1)",0.00017761,-0.0001914,0.00205405,0.0,2025-W29
adj_close.csv,ARIMA,DBC,0.00319223,0.00339916,0.00322154,0.00319223,0.00339916,0.00322154,"ARIMA(0, 0, 1)",-0.00322154,-2.932e-05,0.00017761,0.0,2025-W30
adj_close.csv,ARIMA,DBC,0.00097783,0.00249855,0.00072299,0.00097783,0.00249855,0.00072299,"ARIMA(0, 0, 1)",-0.00072299,0.00025484,-0.00322154,0.0,2025-W31
adj_close.csv,ARIMA,DBC,0.00235389,0.00155339,0.00227639,0.00235389,0.00155339,0.00227639,"ARIMA(0, 0, 1)",-0.00227639,7.751e-05,-0.00072299,0.0,2025-W32
adj_close.csv,ARIMA,DBC,0.00082824,0.00163433,0.00064205,0.00082824,0.00163433,0.00064205,"ARIMA(0, 0, 1)",-0.00064205,0.00018619,-0.00227639,0.0,2025-W33
adj_close.csv,ARIMA,DBC,0.0027627,0.00346992,0.00282786,0.0027627,0.00346992,0.00282786,"ARIMA(0, 0, 1)",0.00282786,6.516e-05,-0.00064205,0.0,2025-W34
adj_close.csv,ARIMA,DBC,0.00139254,0.00165378,0.00117408,0.00139254,0.00165378,0.00117408,"ARIMA(0, 0, 1)",0.00117408,-0.00021846,0.00282786,0.0,2025-W35
adj_close.csv,ARIMA,DBC,0.0019251,0.00320842,0.00203435,0.0019251,0.00320842,0.00203435,"ARIMA(0, 0, 1)",-0.00203435,-0.00010924,0.00117408,0.0,2025-W36
adj_close.csv,ARIMA,DBC,0.00273241,0.00491857,0.00288422,0.00273241,0.00491857,0.00288422,"ARIMA(0, 0, 1)",0.00288422,0.00015181,-0.00203435,0.0,2025-W37
adj_close.csv,ARIMA,DBC,0.00058951,0.00369121,0.00080699,0.00058951,0.00369121,0.00080699,"ARIMA(0, 0, 1)",-0.00080699,-0.00021747,0.00288422,0.0,2025-W38
adj_close.csv,ARIMA,DBC,0.00483448,0.00568852,0.00488153,0.00483448,0.00568852,0.00488153,"ARIMA(0, 0, 1)",0.00488153,4.705e-05,-0.00080699,0.0,2025-W39
adj_close.csv,ARIMA,DBC,0.00314847,0.00841988,0.00353835,0.00314847,0.00841988,0.00353835,"ARIMA(0, 0, 1)",-0.00353835,-0.00038988,0.00488153,0.0,2025-W40
adj_close.csv,ARIMA,DBC,0.00331843,0.00048074,0.00305762,0.00331843,0.00048074,0.00305762,"ARIMA(0, 0, 1)",-0.00305762,0.00026082,-0.00353835,0.0,2025-W41
adj_close.csv,ARIMA,DBC,0.00018292,0.00351023,0.00045261,0.00018292,0.00351023,0.00045261,"ARIMA(0, 0, 1)",0.00045261,0.00026969,-0.00305762,0.0,2025-W42
adj_close.csv,ARIMA,DBC,0.00650866,0.00604117,0.00649378,0.00650866,0.00604117,0.00649378,"ARIMA(0, 0, 1)",0.00649378,-1.488e-05,0.00045261,0.0,2025-W43
adj_close.csv,ARIMA,DBC,0.00079263,0.00623138,0.0002624,0.00079263,0.00623138,0.0002624,"ARIMA(0, 0, 1)",0.0002624,-0.00053023,0.00649378,0.0,2025-W44
adj_close.csv,ARIMA,DBC,0.00023834,8.766e-05,0.00017474,0.00023834,8.766e-05,0.00017474,"ARIMA(0, 0, 1)",0.00017474,-6.359e-05,0.0002624,0.0,2025-W45
adj_close.csv,ARIMA,DBC,0.00062966,0.00043567,0.00061042,0.00062966,0.00043567,0.00061042,"ARIMA(0, 0, 1)",0.00061042,-1.925e-05,0.00017474,0.0,2025-W46
adj_close.csv,ARIMA,DBC,0.00381746,0.00447866,0.00386824,0.00381746,0.00447866,0.00386824,"ARIMA(0, 0, 1)",-0.00386824,-5.078e-05,0.00061042,0.0,2025-W47
adj_close.csv,ARIMA,DBC,0.00550363,0.00968118,0.00581294,0.00550363,0.00968118,0.00581294,"ARIMA(0, 0, 1)",0.00581294,0.00030931,-0.00386824,0.0,2025-W48
adj_close.csv,ARIMA,DBC,0.00279097,0.00348482,0.00232812,0.00279097,0.00348482,0.00232812,"ARIMA(0, 0, 1)",0.00232812,-0.00046285,0.00581294,0.0,2025-W49
adj_close.csv,ARIMA,DBC,0.00331863,0.00587416,0.00354604,0.00331863,0.00587416,0.00354604,"ARIMA(0, 0, 1)",-0.00354604,-0.00022741,0.00232812,0.0,2025-W50
adj_close.csv,ARIMA,DBC,0.00088665,0.00293429,0.00061175,0.00088665,0.00293429,0.00061175,"ARIMA(0, 0, 1)",-0.00061175,0.00027489,-0.00354604,0.0,2025-W51
adj_close.csv,ARIMA,DBC,0.00655585,0.00724071,0.00662896,0.00655585,0.00724071,0.00662896,"ARIMA(0, 0, 1)",0.00662896,7.312e-05,-0.00061175,0.0,2025-W52
adj_close.csv,ARIMA,DBC,0.00289342,0.0100666,0.00343764,0.00289342,0.0100666,0.00343764,"ARIMA(0, 0, 1)",-0.00343764,-0.00054422,0.00662896,0.0,2026-W01
adj_close.csv,ARIMA,DBC,0.00425776,0.00794214,0.0045045,0.00425776,0.00794214,0.0045045,"ARIMA(0, 0, 1)",0.0045045,0.00024674,-0.00343764,0.0,2026-W02
adj_close.csv,ARIMA,DBC,0.00263242,0.00224655,0.00225795,0.00263242,0.00224655,0.00225795,"ARIMA(0, 0, 1)",0.00225795,-0.00037447,0.0045045,0.0,2026-W03
adj_close.csv,ARIMA,DBC,0.01100047,0.00851685,0.0107748,0.01100047,0.00851685,0.0107748,"ARIMA(0, 0, 1)",0.0107748,-0.00022567,0.00225795,0.0,2026-W04
