Date,AGG,BND,DBC,DIA,DVY,EEM,EFA,EWG,EWJ,EWQ,EWT,EWU,EWZ,FXI,HYG,IEF,IEFA,IEMG,IJR,INDA,ITOT,IVV,IWD,IWF,IWM,JNK,LQD,MCHI,MDY,MTUM,QQQ,QUAL,SCHD,SLV,SPY,TIP,TLT,USMV,USO,VEA,VIG,VLUE,VNQ,VOO,VTI,VTV,VUG,VWO,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,year,AGG_día_1,BND_día_1,DBC_día_1,DIA_día_1,DVY_día_1,EEM_día_1,EFA_día_1,EWG_día_1,EWJ_día_1,EWQ_día_1,EWT_día_1,EWU_día_1,EWZ_día_1,FXI_día_1,HYG_día_1,IEF_día_1,IEFA_día_1,IEMG_día_1,IJR_día_1,INDA_día_1,ITOT_día_1,IVV_día_1,IWD_día_1,IWF_día_1,IWM_día_1,JNK_día_1,LQD_día_1,MCHI_día_1,MDY_día_1,MTUM_día_1,QQQ_día_1,QUAL_día_1,SCHD_día_1,SLV_día_1,SPY_día_1,TIP_día_1,TLT_día_1,USMV_día_1,USO_día_1,VEA_día_1,VIG_día_1,VLUE_día_1,VNQ_día_1,VOO_día_1,VTI_día_1,VTV_día_1,VUG_día_1,VWO_día_1,XLB_día_1,XLE_día_1,XLF_día_1,XLI_día_1,XLK_día_1,XLP_día_1,XLRE_día_1,XLU_día_1,XLV_día_1,XLY_día_1
2021-01-04,101.75421905517578,75.62783813476562,12.721416473388672,276.6437072753906,79.07437896728516,46.271244049072266,62.786319732666016,28.43678092956543,59.1646728515625,28.770753860473636,36.53016662597656,24.359432220458984,24.622941970825195,41.33197021484375,66.61781311035156,105.40015411376952,59.11198043823242,54.12982940673828,84.06737518310547,37.51496887207031,79.3974609375,344.72784423828125,122.4315185546875,230.60919189453125,181.9647216796875,80.63687896728516,114.29564666748048,72.85948944091797,389.9557800292969,151.33639526367188,300.1630859375,107.42733764648438,17.669269561767578,25.350000381469727,344.25689697265625,105.33782958984376,134.7137451171875,61.70546340942383,32.380001068115234,40.41983795166016,126.98743438720705,75.32469940185547,68.24583435058594,315.5709228515625,178.8085479736328,104.16038513183594,242.7849578857422,42.84593200683594,32.4567756652832,15.711833953857422,26.672197341918945,80.04692077636719,61.50138473510742,58.5054817199707,29.902738571166992,26.242631912231445,104.27832794189452,76.56546783447266,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,101.65074920654295,75.4990463256836,13.078174591064451,278.0345764160156,79.98395538330078,47.38354110717773,63.43694686889648,28.5782527923584,59.714134216308594,28.941856384277344,37.31130599975586,24.736967086791992,24.764333724975582,42.4567756652832,66.6407470703125,105.1541748046875,59.77549743652344,55.29829025268555,85.85881042480469,38.19435119628906,79.99442291259766,347.0091552734375,123.48431396484376,231.81201171875,184.7765350341797,80.68880462646484,113.92972564697266,75.20025634765625,395.72021484375,152.70730590820312,302.6377258300781,107.85945129394533,17.811784744262695,25.670000076293945,346.62774658203125,105.30484771728516,133.71324157714844,61.77000427246094,33.939998626708984,40.87954330444336,127.39776611328124,76.25161743164062,68.34550476074219,317.64666748046875,180.2530059814453,104.94088745117188,244.3603515625,43.84175109863281,33.18558120727539,16.41547393798828,26.791439056396484,80.8343276977539,61.90048599243164,58.5054817199707,29.86892509460449,26.238338470458984,105.03536224365234,77.13700103759766,2021,101.75421905517578,75.62783813476562,12.721416473388672,276.6437072753906,79.07437896728516,46.271244049072266,62.786319732666016,28.43678092956543,59.1646728515625,28.770753860473636,36.53016662597656,24.359432220458984,24.622941970825195,41.33197021484375,66.61781311035156,105.40015411376952,59.11198043823242,54.12982940673828,84.06737518310547,37.51496887207031,79.3974609375,344.72784423828125,122.4315185546875,230.60919189453125,181.9647216796875,80.63687896728516,114.29564666748048,72.85948944091797,389.9557800292969,151.33639526367188,300.1630859375,107.42733764648438,17.669269561767578,25.350000381469727,344.25689697265625,105.33782958984376,134.7137451171875,61.70546340942383,32.380001068115234,40.41983795166016,126.98743438720705,75.32469940185547,68.24583435058594,315.5709228515625,178.8085479736328,104.16038513183594,242.7849578857422,42.84593200683594,32.4567756652832,15.711833953857422,26.672197341918945,80.04692077636719,61.50138473510742,58.5054817199707,29.902738571166992,26.242631912231445,104.27832794189452,76.56546783447266
2021-01-06,101.15078735351562,75.16413116455078,13.095576286315918,282.0335693359375,83.14659881591797,46.98311614990234,64.16461944580078,28.83468246459961,60.42311096191406,29.198511123657227,37.29093170166016,25.48384094238281,24.663339614868164,41.965782165527344,66.5184326171875,104.53922271728516,60.507057189941406,54.8914909362793,90.0326156616211,38.073368072509766,80.72199249267578,349.1042175292969,126.57941436767578,229.23182678222656,192.3372039794922,80.57012176513672,113.0066146850586,73.64873504638672,411.3904113769531,151.52552795410156,298.4454345703125,108.35731506347656,18.303600311279297,25.34000015258789,348.7000427246094,104.9916534423828,130.96836853027344,62.3323860168457,34.11000061035156,41.32220077514648,129.00254821777344,78.23661804199219,68.46177673339844,319.5733642578125,181.8746032714844,107.4686050415039,241.68609619140625,43.42469787597656,34.543609619140625,16.91629409790039,27.97462654113769,82.76115417480469,60.8329963684082,58.54931640625,29.72524642944336,26.890974044799805,106.47559356689452,77.92464447021484,2021,101.65074920654295,75.4990463256836,13.078174591064451,278.0345764160156,79.98395538330078,47.38354110717773,63.43694686889648,28.5782527923584,59.714134216308594,28.941856384277344,37.31130599975586,24.736967086791992,24.764333724975582,42.4567756652832,66.6407470703125,105.1541748046875,59.77549743652344,55.29829025268555,85.85881042480469,38.19435119628906,79.99442291259766,347.0091552734375,123.48431396484376,231.81201171875,184.7765350341797,80.68880462646484,113.92972564697266,75.20025634765625,395.72021484375,152.70730590820312,302.6377258300781,107.85945129394533,17.811784744262695,25.670000076293945,346.62774658203125,105.30484771728516,133.71324157714844,61.77000427246094,33.939998626708984,40.87954330444336,127.39776611328124,76.25161743164062,68.34550476074219,317.64666748046875,180.2530059814453,104.94088745117188,244.3603515625,43.84175109863281,33.18558120727539,16.41547393798828,26.791439056396484,80.8343276977539,61.90048599243164,58.5054817199707,29.86892509460449,26.238338470458984,105.03536224365234,77.13700103759766
2021-01-07,101.04735565185548,75.00957489013672,13.156485557556152,284.1290283203125,83.40528869628906,47.42803192138672,64.23313903808594,28.97616004943848,60.299049377441406,29.326833724975582,37.949806213378906,25.48384094238281,25.020193099975582,42.260372161865234,66.70956420898438,104.17027282714844,60.507057189941406,55.324256896972656,90.98371887207033,37.89654159545898,81.95326232910156,354.2720031738281,127.68670654296876,234.44073486328125,195.7602081298828,80.79269409179688,112.9899673461914,74.21372985839844,415.8434143066406,156.21484375,305.6654968261719,109.57849884033205,18.42655563354492,25.26000022888184,353.8809509277344,104.92569732666016,129.81393432617188,62.710357666015625,34.529998779296875,41.44140625,129.7957763671875,79.25096893310547,68.32887268066406,324.348388671875,184.79150390625,108.266845703125,247.2679901123047,43.76515197753906,34.801639556884766,17.164644241333008,28.37820053100586,83.21507263183594,62.47269058227539,58.37395477294922,29.818225860595703,26.538896560668945,107.86045837402344,79.42790222167969,2021,101.15078735351562,75.16413116455078,13.095576286315918,282.0335693359375,83.14659881591797,46.98311614990234,64.16461944580078,28.83468246459961,60.42311096191406,29.198511123657227,37.29093170166016,25.48384094238281,24.663339614868164,41.965782165527344,66.5184326171875,104.53922271728516,60.507057189941406,54.8914909362793,90.0326156616211,38.073368072509766,80.72199249267578,349.1042175292969,126.57941436767578,229.23182678222656,192.3372039794922,80.57012176513672,113.0066146850586,73.64873504638672,411.3904113769531,151.52552795410156,298.4454345703125,108.35731506347656,18.303600311279297,25.34000015258789,348.7000427246094,104.9916534423828,130.96836853027344,62.3323860168457,34.11000061035156,41.32220077514648,129.00254821777344,78.23661804199219,68.46177673339844,319.5733642578125,181.8746032714844,107.4686050415039,241.68609619140625,43.42469787597656,34.543609619140625,16.91629409790039,27.97462654113769,82.76115417480469,60.8329963684082,58.54931640625,29.72524642944336,26.890974044799805,106.47559356689452,77.92464447021484
2021-01-08,100.92666625976562,74.94085693359375,13.260902404785156,284.6231689453125,82.9797134399414,48.68268966674805,64.8323974609375,29.108793258666992,61.406837463378906,29.489381790161133,38.22150802612305,25.65619468688965,25.38377571105957,43.13521194458008,66.80897521972656,103.87158966064452,61.03445816040039,56.72641372680664,90.23577880859376,38.78997802734375,82.34500122070312,356.2926025390625,127.76841735839844,236.86575317382807,195.3370056152344,80.89657592773438,112.90679168701172,76.63520812988281,415.18304443359375,158.79592895507812,309.5956420898437,110.11395263671876,18.370668411254883,23.51000022888184,355.897216796875,104.51353454589844,129.3949737548828,63.04227828979492,35.43000030517578,41.83298873901367,130.251708984375,78.8924560546875,68.99330139160156,326.1728820800781,185.68614196777344,108.34667205810548,249.9130859375,44.65032958984375,34.6341438293457,17.14394187927246,28.35985374450684,83.01126098632812,62.87661743164063,58.6633186340332,30.139392852783203,26.76215934753418,108.37743377685548,81.06563568115234,2021,101.04735565185548,75.00957489013672,13.156485557556152,284.1290283203125,83.40528869628906,47.42803192138672,64.23313903808594,28.97616004943848,60.299049377441406,29.326833724975582,37.949806213378906,25.48384094238281,25.020193099975582,42.260372161865234,66.70956420898438,104.17027282714844,60.507057189941406,55.324256896972656,90.98371887207033,37.89654159545898,81.95326232910156,354.2720031738281,127.68670654296876,234.44073486328125,195.7602081298828,80.79269409179688,112.9899673461914,74.21372985839844,415.8434143066406,156.21484375,305.6654968261719,109.57849884033205,18.42655563354492,25.26000022888184,353.8809509277344,104.92569732666016,129.81393432617188,62.710357666015625,34.529998779296875,41.44140625,129.7957763671875,79.25096893310547,68.32887268066406,324.348388671875,184.79150390625,108.266845703125,247.2679901123047,43.76515197753906,34.801639556884766,17.164644241333008,28.37820053100586,83.21507263183594,62.47269058227539,58.37395477294922,29.818225860595703,26.538896560668945,107.86045837402344,79.42790222167969
2021-01-11,100.76290130615234,74.86358642578125,13.16518783569336,283.8270568847656,83.23839569091797,48.02422332763672,63.98486328125,28.622467041015625,60.83078384399414,29.00173759460449,38.39131927490234,25.196582794189453,24.515209197998047,42.55496597290039,66.44960021972656,103.66954803466795,60.18379974365234,55.973392486572266,90.65130615234376,38.575927734375,81.90660858154297,353.96484375,127.86825561523438,234.02365112304688,195.1677398681641,80.45880126953125,112.4244155883789,75.00293731689453,415.8811645507813,156.84829711914062,305.1219787597656,109.60669708251952,18.44611358642578,23.209999084472656,353.4982604980469,104.29094696044922,129.18118286132812,62.7195930480957,35.2599983215332,41.28816223144531,129.85960388183594,79.43460083007812,68.07971954345703,324.041259765625,184.57716369628903,108.53292083740234,246.54837036132807,44.13113021850586,34.6341438293457,17.412981033325195,28.451574325561523,82.98347473144531,62.35728454589844,58.16350173950195,29.63228988647461,26.51313591003418,108.8852310180664,79.55277252197266,2021,100.92666625976562,74.94085693359375,13.260902404785156,284.6231689453125,82.9797134399414,48.68268966674805,64.8323974609375,29.108793258666992,61.406837463378906,29.489381790161133,38.22150802612305,25.65619468688965,25.38377571105957,43.13521194458008,66.80897521972656,103.87158966064452,61.03445816040039,56.72641372680664,90.23577880859376,38.78997802734375,82.34500122070312,356.2926025390625,127.76841735839844,236.86575317382807,195.3370056152344,80.89657592773438,112.90679168701172,76.63520812988281,415.18304443359375,158.79592895507812,309.5956420898437,110.11395263671876,18.370668411254883,23.51000022888184,355.897216796875,104.51353454589844,129.3949737548828,63.04227828979492,35.43000030517578,41.83298873901367,130.251708984375,78.8924560546875,68.99330139160156,326.1728820800781,185.68614196777344,108.34667205810548,249.9130859375,44.65032958984375,34.6341438293457,17.14394187927246,28.35985374450684,83.01126098632812,62.87661743164063,58.6633186340332,30.139392852783203,26.76215934753418,108.37743377685548,81.06563568115234
2021-01-12,100.8490753173828,74.846435546875,13.41752815246582,284.3486633300781,84.17300415039062,48.4958381652832,64.27592468261719,28.693204879760746,61.14982223510742,29.14717483520508,38.5,25.336109161376957,25.63290786743164,43.10844039916992,66.53370666503906,103.65198516845705,60.47303009033203,56.49271011352539,92.21187591552734,38.92026901245117,82.1491470336914,354.0206298828125,128.48541259765625,233.52891540527344,198.6660003662109,80.5774917602539,112.66561126708984,75.87287902832031,420.7397766113281,157.7748565673828,304.6368103027344,109.37183380126952,18.610994338989254,23.71999931335449,353.5728759765625,104.43109130859376,129.07855224609375,62.3323860168457,35.900001525878906,41.48396682739258,129.7593231201172,80.48394012451172,68.23751831054688,324.0691833496094,185.2295379638672,108.9852523803711,246.07188415527344,44.61628723144531,35.073238372802734,18.021419525146484,28.74508285522461,83.80793762207031,62.05915832519531,57.9705924987793,29.65763282775879,26.37144470214844,107.70348358154295,80.76786804199219,2021,100.76290130615234,74.86358642578125,13.16518783569336,283.8270568847656,83.23839569091797,48.02422332763672,63.98486328125,28.622467041015625,60.83078384399414,29.00173759460449,38.39131927490234,25.196582794189453,24.515209197998047,42.55496597290039,66.44960021972656,103.66954803466795,60.18379974365234,55.973392486572266,90.65130615234376,38.575927734375,81.90660858154297,353.96484375,127.86825561523438,234.02365112304688,195.1677398681641,80.45880126953125,112.4244155883789,75.00293731689453,415.8811645507813,156.84829711914062,305.1219787597656,109.60669708251952,18.44611358642578,23.209999084472656,353.4982604980469,104.29094696044922,129.18118286132812,62.7195930480957,35.2599983215332,41.28816223144531,129.85960388183594,79.43460083007812,68.07971954345703,324.041259765625,184.57716369628903,108.53292083740234,246.54837036132807,44.13113021850586,34.6341438293457,17.412981033325195,28.451574325561523,82.98347473144531,62.35728454589844,58.16350173950195,29.63228988647461,26.51313591003418,108.8852310180664,79.55277252197266
2021-01-13,101.16802215576172,75.04391479492188,13.38272190093994,284.2479248046875,84.11458587646484,48.60260772705078,64.1903305053711,28.675521850585938,61.32706832885742,29.087289810180664,38.995853424072266,25.21299362182617,25.1279239654541,43.23341751098633,66.73250579833984,104.01217651367188,60.37945556640625,56.6052360534668,91.3992691040039,38.77136993408203,82.22376251220703,354.9145812988281,128.36746215820312,234.65414428710935,197.2460174560547,80.80011749267578,113.53887176513672,76.5096435546875,416.7397155761719,158.32321166992188,306.694091796875,109.40941619873048,18.5411319732666,23.440000534057617,354.52496337890625,104.66190338134766,130.53221130371094,62.32315826416016,35.79999923706055,41.407352447509766,129.5769805908203,80.72003173828125,69.06806945800781,324.87890625,185.4345550537109,109.0650863647461,247.00540161132807,44.76097869873047,34.71562576293945,17.880695343017578,28.72673225402832,83.08538818359375,62.45347213745117,58.05828094482422,30.06332397460937,26.886674880981445,107.99891662597656,80.76306915283203,2021,100.8490753173828,74.846435546875,13.41752815246582,284.3486633300781,84.17300415039062,48.4958381652832,64.27592468261719,28.693204879760746,61.14982223510742,29.14717483520508,38.5,25.336109161376957,25.63290786743164,43.10844039916992,66.53370666503906,103.65198516845705,60.47303009033203,56.49271011352539,92.21187591552734,38.92026901245117,82.1491470336914,354.0206298828125,128.48541259765625,233.52891540527344,198.6660003662109,80.5774917602539,112.66561126708984,75.87287902832031,420.7397766113281,157.7748565673828,304.6368103027344,109.37183380126952,18.610994338989254,23.71999931335449,353.5728759765625,104.43109130859376,129.07855224609375,62.3323860168457,35.900001525878906,41.48396682739258,129.7593231201172,80.48394012451172,68.23751831054688,324.0691833496094,185.2295379638672,108.9852523803711,246.07188415527344,44.61628723144531,35.073238372802734,18.021419525146484,28.74508285522461,83.80793762207031,62.05915832519531,57.9705924987793,29.65763282775879,26.37144470214844,107.70348358154295,80.76786804199219
2021-01-14,100.96975708007812,74.94947052001953,13.504541397094728,283.7173156738281,85.03251647949219,49.056427001953125,64.7039794921875,28.781627655029297,61.96515274047852,29.1899528503418,39.50529098510742,25.524877548217773,25.996488571166992,43.4298095703125,66.71719360351562,103.77497100830078,60.838809967041016,57.13320159912109,93.56927490234376,38.90165710449219,82.21442413330078,353.68536376953125,128.84849548339844,232.53955078125,201.18624877929688,80.77045440673828,113.04816436767578,76.97600555419922,420.7775268554688,157.3966827392578,305.0541076660156,108.78941345214844,18.63055419921875,23.709999084472656,353.2834167480469,104.71136474609376,129.30938720703125,61.97282409667969,36.2400016784668,41.72233200073242,128.83840942382812,82.14540100097656,69.47504425048828,323.7806396484375,185.25750732421875,109.56175231933594,244.6034393310547,45.203556060791016,34.597923278808594,18.410497665405277,28.855144500732425,83.3725357055664,61.90529251098633,57.75136184692383,30.249269485473636,26.783634185791016,107.6573257446289,80.2491683959961,2021,101.16802215576172,75.04391479492188,13.38272190093994,284.2479248046875,84.11458587646484,48.60260772705078,64.1903305053711,28.675521850585938,61.32706832885742,29.087289810180664,38.995853424072266,25.21299362182617,25.1279239654541,43.23341751098633,66.73250579833984,104.01217651367188,60.37945556640625,56.6052360534668,91.3992691040039,38.77136993408203,82.22376251220703,354.9145812988281,128.36746215820312,234.65414428710935,197.2460174560547,80.80011749267578,113.53887176513672,76.5096435546875,416.7397155761719,158.32321166992188,306.694091796875,109.40941619873048,18.5411319732666,23.440000534057617,354.52496337890625,104.66190338134766,130.53221130371094,62.32315826416016,35.79999923706055,41.407352447509766,129.5769805908203,80.72003173828125,69.06806945800781,324.87890625,185.4345550537109,109.0650863647461,247.00540161132807,44.76097869873047,34.71562576293945,17.880695343017578,28.72673225402832,83.08538818359375,62.45347213745117,58.05828094482422,30.06332397460937,26.886674880981445,107.99891662597656,80.76306915283203
2021-01-15,101.07321166992188,75.00957489013672,13.3131103515625,282.0675048828125,84.19804382324219,48.36235046386719,63.693790435791016,28.15382575988769,60.90168380737305,28.63387489318848,38.83962631225586,25.073471069335938,24.83839988708496,43.40303039550781,66.61014556884766,104.05608367919922,59.86906814575195,56.37153625488281,91.93484497070312,38.14782333374024,81.52417755126953,351.1341247558594,127.62319946289062,231.2882080078125,198.1864013671875,80.65172576904297,113.2227554321289,76.8145751953125,416.2774353027344,155.66653442382812,302.6377258300781,108.23516845703124,18.40699958801269,22.950000762939453,350.70703125,104.82678985595705,129.8225555419922,62.03737258911133,35.34000015258789,41.04979705810547,128.33692932128906,81.10479736328125,70.27234649658203,321.4722595214844,183.64524841308597,108.49745178222656,243.22251892089844,44.68437194824219,34.10451126098633,17.694438934326172,28.37820053100586,82.2887191772461,61.27056121826172,57.5496826171875,30.7141170501709,27.045541763305664,107.98969268798828,79.62962341308594,2021,100.96975708007812,74.94947052001953,13.504541397094728,283.7173156738281,85.03251647949219,49.056427001953125,64.7039794921875,28.781627655029297,61.96515274047852,29.1899528503418,39.50529098510742,25.524877548217773,25.996488571166992,43.4298095703125,66.71719360351562,103.77497100830078,60.838809967041016,57.13320159912109,93.56927490234376,38.90165710449219,82.21442413330078,353.68536376953125,128.84849548339844,232.53955078125,201.18624877929688,80.77045440673828,113.04816436767578,76.97600555419922,420.7775268554688,157.3966827392578,305.0541076660156,108.78941345214844,18.63055419921875,23.709999084472656,353.2834167480469,104.71136474609376,129.30938720703125,61.97282409667969,36.2400016784668,41.72233200073242,128.83840942382812,82.14540100097656,69.47504425048828,323.7806396484375,185.25750732421875,109.56175231933594,244.6034393310547,45.203556060791016,34.597923278808594,18.410497665405277,28.855144500732425,83.3725357055664,61.90529251098633,57.75136184692383,30.249269485473636,26.783634185791016,107.6573257446289,80.2491683959961
