Date,AGG,BIL,BND,DBC,DIA,DVY,EEM,EFA,EWG,EWJ,EWQ,EWT,EWU,EWY,EWZ,FXI,GLD,HYG,IAU,IEF,IEFA,IEMG,IJR,INDA,ITOT,IVV,IWD,IWF,IWM,JNK,LQD,MCHI,MDY,MTUM,QQQ,QUAL,SCHD,SHY,SLV,SPY,TIP,TLT,USMV,USO,VEA,VIG,VLUE,VNQ,VOO,VTI,VTV,VUG,VWO,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2021-01-20,6229100,641900,5889500,1511900,2398400,511500,38832500,14419000,1425800,4888000,411200,2985600,2714800,3424700,22458100,18731700,9456000,24534700,11307950,4277700,9075500,10374800,4398400,4322500,1248000,3431200,2003200,2875700,25474200,5208600,12218400,3896200,1114300,1469800,30728100,1562500,4712400,2392300,26653500,61836100,2619800,5368900,3966300,3222600,6967100,1313600,1481900,5198300,2920600,5224900,2132600,902200,8069100,10326600,50725600,56113100,8374300,11770000,10700600,4404200,44796200,6872000,6868600
2021-01-21,8301000,867000,7890800,2822900,1930000,454600,31457000,20536300,2532100,4822200,531700,3646100,2452400,4654300,30223500,11494000,7246800,20451400,8462750,4254500,10215600,17494200,5196500,2038000,883900,3556200,1552300,1352700,21180500,7381400,25084300,5170600,662300,1078100,25130600,1728700,4641000,1574700,19571500,47840100,3029400,8162700,5246900,3010300,7764900,1130800,463800,4213200,2580800,2960600,2450100,798100,13484300,12646600,59968000,43713800,9601500,8945200,8461200,2669600,13975600,5796200,6688000
2021-01-22,3513700,780900,4439800,2413700,2049700,618000,48223800,18854700,2310400,4853200,426600,3172600,3036300,3312900,40010300,14328100,7269600,26615900,9146400,4706200,6414500,13826200,5859500,3663800,951500,3739800,1977600,1629000,24800200,4581300,15998800,5298400,787700,661300,21609400,4288800,4927800,4095800,19320600,52860500,1648100,9507200,4492200,4673300,9665900,1138400,709100,5272700,1812200,3045900,1977300,829200,7062500,12131800,50444600,37928000,9728800,11243600,8329300,2355200,18760000,4796400,4456400
2021-01-25,4049000,921400,5126900,1596000,4546400,763600,50793700,21748100,6597600,6877200,623300,2825300,2494900,4198200,23439000,18919200,5936800,28718200,9310350,5689200,14442100,17045900,7380400,5007000,1102600,3890100,2381600,1145500,33985000,6281800,14603700,7669100,794500,732600,39080600,4228600,5772600,2037500,22030500,70402000,2102900,8712600,4898600,4134500,10653300,1369400,474100,7819700,3549000,5323200,2747700,868700,8700600,24149400,81823200,68321500,18249000,18205200,17486100,5784200,37848600,6962000,11760600
2021-01-26,3639500,1878400,4608700,704100,2256100,1314500,32283000,14175200,2947200,4940900,496200,2627800,1478000,2909400,33821200,13241300,4685600,39103500,9848650,4257100,5448700,8117700,3428700,2996300,1026100,2219200,1527000,789000,23969800,10554700,11926900,3707100,733400,1318400,25498100,3805100,4226400,2015500,13923900,42665300,2696200,7690300,4521100,2628100,7378100,1052800,672200,4706300,2430200,4046900,1937200,775800,8155500,13554800,54999600,55504600,10480800,8593400,9304200,3398900,19473600,5504000,7458000
2021-01-27,3619100,1615100,4248500,1166200,5743100,2064900,45279700,31245200,4882600,10789100,766800,4298000,4436400,5118900,32564900,21406300,9036500,46378600,9468700,5764700,12444300,12645200,4063300,5925000,1608400,5592600,2824800,1855900,45830300,16428000,13822700,4253200,1331000,1144200,55264000,2105600,7789200,3786800,36774400,123351100,2070300,7895200,6395600,4918800,17187600,1744300,498300,5907600,5010400,6727700,2299200,942200,10388300,24779000,99867200,84059200,23140100,24484600,17826800,8415100,39287400,13096900,11241400
2021-01-28,6176500,1965600,4359300,2234400,6392100,772100,38055000,26658600,3108400,5425400,718000,3669900,4170000,4556100,26868100,17207400,9392400,38836200,12615400,5394200,10386700,9241000,13807700,3572000,1122200,5677800,3178600,1445700,32202500,12641600,16896900,5149000,1038100,897100,42836300,837800,7250700,2429600,152066900,94198100,1823800,10667800,5597500,5409000,10340200,1556800,704900,6237000,3432200,5310100,2359300,776200,13367000,14483400,57248200,62985900,17928300,16181600,19925900,11831200,25465800,12626100,7843200
2021-01-29,12164800,3702300,6088400,3890600,5929900,833600,57657800,42149500,3305800,9213100,1053700,4333600,5492500,6508000,35437400,20255100,11252800,46095900,15497400,7952100,13328200,21854300,6915400,5379500,4501600,5001300,4916100,2646300,40591900,20177600,18131600,3139800,1070600,1054700,55259000,5358700,9219000,3237800,113552000,126765100,3341300,14965900,5739000,3916100,18440200,2091500,1651300,7349800,5803600,8315700,2299400,935000,22707500,17979800,63069000,78260700,20895000,19023200,19374700,5590700,27760600,10462400,10833000
2021-02-01,6621900,1563000,5774700,6799100,3138600,649600,51427000,23243900,4631600,5682800,811700,2493900,2847100,4503400,24402400,18430500,9105500,35620700,15437900,3640700,10523000,16554800,5005800,6167100,1073500,4393200,2934800,3865500,26375100,13123600,10682300,3221500,680700,1120800,35646000,790800,7594500,3266300,280615000,75817600,7800000,8165500,3924600,6051400,11963300,1706500,906500,6149000,3334000,3900700,2516200,793000,14517800,16012000,61021400,41947400,11318700,11232600,13283300,3729300,16109400,10105300,6502600
2021-02-02,7323400,1099500,4554500,2792800,3090500,484600,33172200,20388500,2732300,7269400,306800,4658500,1799200,3969200,29478000,14469800,7221700,29522300,11004700,3609800,5996300,8273000,3855500,3372200,1729600,3672300,3474300,1570200,22773100,6948300,12710600,3243000,838600,2604900,33930800,781200,4575300,2245400,124327400,64450700,3343600,9177500,3292900,6274700,7982700,1187500,1273300,3849800,2955200,3278700,1930200,737300,8347500,15789200,63929000,54263000,10443800,8595000,13278400,3017400,28698600,11515700,5401200
