Archivo,Metodo,Target,RMSE,RMSE_baseline,RMSE_zeros,MAE,MAE_baseline,MAE_zeros,Alpha,Valor_Real,Prediccion,Valor_Baseline,Valor_Zeros,Fecha_Semana
adj_close.csv,ARIMA,AGG,0.00259823,0.00308426,0.00401231,0.00259823,0.00308426,0.00401231,"ARIMA(2, 0, 0)",0.00401231,0.00141408,0.00092805,0.0,2025-W05
adj_close.csv,ARIMA,AGG,0.00377018,8.508e-05,0.00392723,0.00377018,8.508e-05,0.00392723,"ARIMA(2, 0, 0)",0.00392723,0.00015705,0.00401231,0.0,2025-W06
adj_close.csv,ARIMA,AGG,0.00186518,0.00146759,0.00245964,0.00186518,0.00146759,0.00245964,"ARIMA(2, 0, 0)",0.00245964,0.00059446,0.00392723,0.0,2025-W07
adj_close.csv,ARIMA,AGG,0.0026954,0.00081017,0.00326981,0.0026954,0.00081017,0.00326981,"ARIMA(2, 0, 0)",0.00326981,0.00057441,0.00245964,0.0,2025-W08
adj_close.csv,ARIMA,AGG,0.01209325,0.00920068,0.0124705,0.01209325,0.00920068,0.0124705,"ARIMA(2, 0, 0)",0.0124705,0.00037724,0.00326981,0.0,2025-W09
adj_close.csv,ARIMA,AGG,0.00665425,0.0185123,0.00604181,0.00665425,0.0185123,0.00604181,"ARIMA(2, 0, 0)",-0.00604181,0.00061244,0.0124705,0.0,2025-W10
adj_close.csv,ARIMA,AGG,0.00245364,0.00532974,0.00071206,0.00245364,0.00532974,0.00071206,"ARIMA(2, 0, 0)",-0.00071206,0.00174157,-0.00604181,0.0,2025-W11
adj_close.csv,ARIMA,AGG,0.00552243,0.00538175,0.00466969,0.00552243,0.00538175,0.00466969,"ARIMA(2, 0, 0)",0.00466969,-0.00085274,-0.00071206,0.0,2025-W12
adj_close.csv,ARIMA,AGG,3.322e-05,0.00477085,0.00010117,3.322e-05,0.00477085,0.00010117,"ARIMA(2, 0, 0)",-0.00010117,-6.795e-05,0.00466969,0.0,2025-W13
adj_close.csv,ARIMA,AGG,0.01001336,0.01075866,0.0106575,0.01001336,0.01075866,0.0106575,"ARIMA(2, 0, 0)",0.0106575,0.00064414,-0.00010117,0.0,2025-W14
adj_close.csv,ARIMA,AGG,0.02468634,0.03528987,0.02463237,0.02468634,0.03528987,0.02463237,"ARIMA(2, 0, 0)",-0.02463237,5.396e-05,0.0106575,0.0,2025-W15
adj_close.csv,ARIMA,AGG,0.00672831,0.03314938,0.00851701,0.00672831,0.03314938,0.00851701,"ARIMA(2, 0, 0)",0.00851701,0.0017887,-0.02463237,0.0,2025-W16
adj_close.csv,ARIMA,AGG,0.0112214,0.00108598,0.00743102,0.0112214,0.00108598,0.00743102,"ARIMA(2, 0, 0)",0.00743102,-0.00379038,0.00851701,0.0,2025-W17
adj_close.csv,ARIMA,AGG,0.00434022,0.01079814,0.00336711,0.00434022,0.01079814,0.00336711,"ARIMA(2, 0, 0)",-0.00336711,0.00097311,0.00743102,0.0,2025-W18
adj_close.csv,ARIMA,AGG,0.00294078,0.00142552,0.0019416,0.00294078,0.00142552,0.0019416,"ARIMA(2, 0, 0)",-0.0019416,0.00099918,-0.00336711,0.0,2025-W19
adj_close.csv,ARIMA,AGG,0.00063808,0.0009183,0.0010233,0.00063808,0.0009183,0.0010233,"ARIMA(2, 0, 0)",-0.0010233,-0.00038522,-0.0019416,0.0,2025-W20
adj_close.csv,ARIMA,AGG,0.00408575,0.00328666,0.00430996,0.00408575,0.00328666,0.00430996,"ARIMA(2, 0, 0)",-0.00430996,-0.0002242,-0.0010233,0.0,2025-W21
adj_close.csv,ARIMA,AGG,0.00885813,0.01311523,0.00880527,0.00885813,0.01311523,0.00880527,"ARIMA(2, 0, 0)",0.00880527,-5.286e-05,-0.00430996,0.0,2025-W22
adj_close.csv,ARIMA,AGG,0.00438283,0.01390146,0.00509619,0.00438283,0.01390146,0.00509619,"ARIMA(2, 0, 0)",-0.00509619,-0.00071336,0.00880527,0.0,2025-W23
adj_close.csv,ARIMA,AGG,0.00574331,0.01206206,0.00696588,0.00574331,0.01206206,0.00696588,"ARIMA(2, 0, 0)",0.00696588,0.00122257,-0.00509619,0.0,2025-W24
adj_close.csv,ARIMA,AGG,0.00347682,0.00431522,0.00265065,0.00347682,0.00431522,0.00265065,"ARIMA(2, 0, 0)",0.00265065,-0.00082617,0.00696588,0.0,2025-W25
adj_close.csv,ARIMA,AGG,0.00505643,0.00323706,0.00588772,0.00505643,0.00323706,0.00588772,"ARIMA(2, 0, 0)",0.00588772,0.00083129,0.00265065,0.0,2025-W26
adj_close.csv,ARIMA,AGG,0.00034179,0.00601249,0.00012477,0.00034179,0.00601249,0.00012477,"ARIMA(2, 0, 0)",-0.00012477,0.00021702,0.00588772,0.0,2025-W27
adj_close.csv,ARIMA,AGG,0.00504338,0.00414952,0.00427429,0.00504338,0.00414952,0.00427429,"ARIMA(2, 0, 0)",-0.00427429,0.00076909,-0.00012477,0.0,2025-W28
adj_close.csv,ARIMA,AGG,0.00053415,0.00488606,0.00061177,0.00053415,0.00488606,0.00061177,"ARIMA(2, 0, 0)",0.00061177,7.762e-05,-0.00427429,0.0,2025-W29
adj_close.csv,ARIMA,AGG,0.0040212,0.00284765,0.00345942,0.0040212,0.00284765,0.00345942,"ARIMA(2, 0, 0)",0.00345942,-0.00056179,0.00061177,0.0,2025-W30
adj_close.csv,ARIMA,AGG,0.01033399,0.00687655,0.01033597,0.01033399,0.00687655,0.01033597,"ARIMA(2, 0, 0)",0.01033597,1.98e-06,0.00345942,0.0,2025-W31
adj_close.csv,ARIMA,AGG,0.00225788,0.0123553,0.00201933,0.00225788,0.0123553,0.00201933,"ARIMA(2, 0, 0)",-0.00201933,0.00023855,0.01033597,0.0,2025-W32
adj_close.csv,ARIMA,AGG,0.00135664,0.00201933,0.0,0.00135664,0.00201933,0.0,"ARIMA(2, 0, 0)",0.0,0.00135664,-0.00201933,0.0,2025-W33
adj_close.csv,ARIMA,AGG,0.00489337,0.00463843,0.00463843,0.00489337,0.00463843,0.00463843,"ARIMA(2, 0, 0)",0.00463843,-0.00025494,0.0,0.0,2025-W34
adj_close.csv,ARIMA,AGG,0.00070091,0.00403488,0.00060355,0.00070091,0.00403488,0.00060355,"ARIMA(2, 0, 0)",0.00060355,-9.737e-05,0.00463843,0.0,2025-W35
adj_close.csv,ARIMA,AGG,0.00913927,0.00910377,0.00970732,0.00913927,0.00910377,0.00970732,"ARIMA(2, 0, 0)",0.00970732,0.00056805,0.00060355,0.0,2025-W36
adj_close.csv,ARIMA,AGG,0.00450614,0.00532153,0.00438579,0.00450614,0.00532153,0.00438579,"ARIMA(2, 0, 0)",0.00438579,-0.00012035,0.00970732,0.0,2025-W37
adj_close.csv,ARIMA,AGG,0.00365995,0.00687537,0.00248957,0.00365995,0.00687537,0.00248957,"ARIMA(2, 0, 0)",-0.00248957,0.00117037,0.00438579,0.0,2025-W38
adj_close.csv,ARIMA,AGG,0.0027965,0.00029354,0.00219604,0.0027965,0.00029354,0.00219604,"ARIMA(2, 0, 0)",-0.00219604,0.00060046,-0.00248957,0.0,2025-W39
adj_close.csv,ARIMA,AGG,0.00461825,0.00654184,0.00434581,0.00461825,0.00654184,0.00434581,"ARIMA(2, 0, 0)",0.00434581,-0.00027245,-0.00219604,0.0,2025-W40
adj_close.csv,ARIMA,AGG,0.00284877,0.00185336,0.00249244,0.00284877,0.00185336,0.00249244,"ARIMA(2, 0, 0)",0.00249244,-0.00035633,0.00434581,0.0,2025-W41
adj_close.csv,ARIMA,AGG,0.00476772,0.00277087,0.00526331,0.00476772,0.00277087,0.00526331,"ARIMA(2, 0, 0)",0.00526331,0.00049559,0.00249244,0.0,2025-W42
adj_close.csv,ARIMA,AGG,0.00155945,0.00348195,0.00178136,0.00155945,0.00348195,0.00178136,"ARIMA(2, 0, 0)",0.00178136,0.00022192,0.00526331,0.0,2025-W43
adj_close.csv,ARIMA,AGG,0.0065832,0.00773141,0.00595005,0.0065832,0.00773141,0.00595005,"ARIMA(2, 0, 0)",-0.00595005,0.00063315,0.00178136,0.0,2025-W44
adj_close.csv,ARIMA,AGG,0.00045535,0.0058203,0.00012975,0.00045535,0.0058203,0.00012975,"ARIMA(2, 0, 0)",-0.00012975,0.0003256,-0.00595005,0.0,2025-W45
adj_close.csv,ARIMA,AGG,0.00126361,0.0018682,0.00199795,0.00126361,0.0018682,0.00199795,"ARIMA(2, 0, 0)",-0.00199795,-0.00073434,-0.00012975,0.0,2025-W46
adj_close.csv,ARIMA,AGG,0.00437153,0.00638824,0.00439029,0.00437153,0.00638824,0.00439029,"ARIMA(2, 0, 0)",0.00439029,1.876e-05,-0.00199795,0.0,2025-W47
adj_close.csv,ARIMA,AGG,0.00410342,0.00061407,0.00377621,0.00410342,0.00061407,0.00377621,"ARIMA(2, 0, 0)",0.00377621,-0.00032721,0.00439029,0.0,2025-W48
adj_close.csv,ARIMA,AGG,0.00510724,0.00840403,0.00462781,0.00510724,0.00840403,0.00462781,"ARIMA(2, 0, 0)",-0.00462781,0.00047943,0.00377621,0.0,2025-W49
adj_close.csv,ARIMA,AGG,0.00274755,0.00242604,0.00220177,0.00274755,0.00242604,0.00220177,"ARIMA(2, 0, 0)",-0.00220177,0.00054578,-0.00462781,0.0,2025-W50
adj_close.csv,ARIMA,AGG,0.00416042,0.00583715,0.00363538,0.00416042,0.00583715,0.00363538,"ARIMA(2, 0, 0)",0.00363538,-0.00052505,-0.00220177,0.0,2025-W51
adj_close.csv,ARIMA,AGG,0.00233178,0.00163413,0.00200125,0.00233178,0.00163413,0.00200125,"ARIMA(2, 0, 0)",0.00200125,-0.00033054,0.00363538,0.0,2025-W52
adj_close.csv,ARIMA,AGG,0.00230321,0.00390232,0.00190107,0.00230321,0.00390232,0.00190107,"ARIMA(2, 0, 0)",-0.00190107,0.00040213,0.00200125,0.0,2026-W01
adj_close.csv,ARIMA,AGG,0.00282671,0.00500097,0.0030999,0.00282671,0.00500097,0.0030999,"ARIMA(2, 0, 0)",0.0030999,0.00027319,-0.00190107,0.0,2026-W02
adj_close.csv,ARIMA,AGG,0.00081476,0.00419875,0.00109885,0.00081476,0.00419875,0.00109885,"ARIMA(2, 0, 0)",-0.00109885,-0.00028409,0.0030999,0.0,2026-W03
adj_close.csv,ARIMA,AGG,0.00020715,0.00169835,0.0005995,0.00020715,0.00169835,0.0005995,"ARIMA(2, 0, 0)",0.0005995,0.00039234,-0.00109885,0.0,2026-W04
adj_close.csv,ARIMA,AGG,0.00034267,0.00039977,0.00019973,0.00034267,0.00039977,0.00019973,"ARIMA(2, 0, 0)",0.00019973,-0.00014295,0.0005995,0.0,2026-W05
adj_close.csv,ARIMA,AGG,0.00447231,0.00460365,0.00440392,0.00447231,0.00460365,0.00440392,"ARIMA(2, 0, 0)",-0.00440392,6.839e-05,0.00019973,0.0,2026-W06
adj_close.csv,ARIMA,BND,0.00161439,0.0065898,0.00302078,0.00161439,0.0065898,0.00302078,"ARIMA(2, 0, 0)",0.00302078,0.00140639,-0.00356902,0.0,2024-W30
adj_close.csv,ARIMA,BND,0.02362045,0.0199837,0.02300448,0.02362045,0.0199837,0.02300448,"ARIMA(2, 0, 0)",0.02300448,-0.00061596,0.00302078,0.0,2024-W31
adj_close.csv,ARIMA,BND,0.00850666,0.03055881,0.00755432,0.00850666,0.03055881,0.00755432,"ARIMA(2, 0, 0)",-0.00755432,0.00095234,0.02300448,0.0,2024-W32
adj_close.csv,ARIMA,BND,0.00141292,0.01295604,0.00540172,0.00141292,0.01295604,0.00540172,"ARIMA(2, 0, 0)",0.00540172,0.00398879,-0.00755432,0.0,2024-W33
adj_close.csv,ARIMA,BND,0.0080336,0.00130973,0.00671145,0.0080336,0.00130973,0.00671145,"ARIMA(2, 0, 0)",0.00671145,-0.00132215,0.00540172,0.0,2024-W34
adj_close.csv,ARIMA,BND,0.00619892,0.0119425,0.00523105,0.00619892,0.0119425,0.00523105,"ARIMA(2, 0, 0)",-0.00523105,0.00096787,0.00671145,0.0,2024-W35
adj_close.csv,ARIMA,BND,0.01115422,0.01751151,0.01228045,0.01115422,0.01751151,0.01228045,"ARIMA(2, 0, 0)",0.01228045,0.00112624,-0.00523105,0.0,2024-W36
adj_close.csv,ARIMA,BND,0.00612662,0.00709733,0.00518313,0.00612662,0.00709733,0.00518313,"ARIMA(2, 0, 0)",0.00518313,-0.0009435,0.01228045,0.0,2024-W37
adj_close.csv,ARIMA,BND,0.0040006,0.00704068,0.00185756,0.0040006,0.00704068,0.00185756,"ARIMA(2, 0, 0)",-0.00185756,0.00214304,0.00518313,0.0,2024-W38
adj_close.csv,ARIMA,BND,0.00113937,0.00159177,0.00026578,0.00113937,0.00159177,0.00026578,"ARIMA(2, 0, 0)",-0.00026578,0.00087359,-0.00185756,0.0,2024-W39
adj_close.csv,ARIMA,BND,0.01186339,0.01191181,0.01217759,0.01186339,0.01191181,0.01217759,"ARIMA(2, 0, 0)",-0.01217759,-0.0003142,-0.00026578,0.0,2024-W40
adj_close.csv,ARIMA,BND,0.00438543,0.0077171,0.00446049,0.00438543,0.0077171,0.00446049,"ARIMA(2, 0, 0)",-0.00446049,-7.506e-05,-0.01217759,0.0,2024-W41
